TRAINING STARTED...
Trial 1/25
GNN(
  (layers): ModuleList(
    (0): GCNConv(7, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=28, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  13297
Epoch 1, Train acc: 0.65, Validation acc: 0.67 (new best validation), Test acc: 0.8
Epoch 41, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 42, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.75
Epoch 43, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 44, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 45, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 46, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 47, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.8
Epoch 48, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.8
Epoch 49, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 50, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 51, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 52, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 53, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 54, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 55, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 56, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 57, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 58, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 59, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 60, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 61, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 62, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 63, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 64, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 65, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 66, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 67, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 68, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 69, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 70, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 71, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 72, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 73, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 74, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 75, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 76, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 77, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 78, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 79, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 80, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 81, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 82, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 83, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 84, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 85, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 86, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 87, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 88, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 89, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 90, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 91, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 92, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 93, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 94, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 95, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 96, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 97, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 98, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 99, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 100, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 101, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 102, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 103, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 104, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 105, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 106, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 107, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 108, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 109, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 110, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 111, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 112, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 113, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 114, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 115, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 116, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 117, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 118, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 119, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 120, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 121, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 122, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 123, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 124, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 125, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 126, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 127, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 128, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 129, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 130, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 131, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 132, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
Epoch 133, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.8
100 epochs without improvement, stopping training
Best train acc: 0.7333333333333333, Best validation acc: 0.7777777777777778, Best test acc: 0.8
Trial 4/25
GNN(
  (layers): ModuleList(
    (0): GCNConv(7, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=28, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  13297
Epoch 1, Train acc: 0.7, Validation acc: 0.56 (new best validation), Test acc: 0.5
Epoch 2, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 3, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 4, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 5, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 6, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 7, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 8, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 9, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 10, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 11, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 12, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 13, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 14, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 15, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 16, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 17, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 18, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 19, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 20, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 21, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 22, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 23, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 24, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 25, Train acc: 0.7, Validation acc: 0.56, Test acc: 0.5
Epoch 26, Train acc: 0.71, Validation acc: 0.56, Test acc: 0.5
Epoch 27, Train acc: 0.71, Validation acc: 0.56, Test acc: 0.5
Epoch 28, Train acc: 0.71, Validation acc: 0.56, Test acc: 0.55
Epoch 29, Train acc: 0.72, Validation acc: 0.61 (new best validation), Test acc: 0.55
Epoch 30, Train acc: 0.76, Validation acc: 0.67 (new best validation), Test acc: 0.7
Epoch 31, Train acc: 0.75, Validation acc: 0.72 (new best validation), Test acc: 0.75
Epoch 32, Train acc: 0.76, Validation acc: 0.78 (new best validation), Test acc: 0.75
Epoch 33, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 34, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.75
Epoch 35, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 36, Train acc: 0.73, Validation acc: 0.78, Test acc: 0.75
Epoch 37, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.75
Epoch 38, Train acc: 0.73, Validation acc: 0.67, Test acc: 0.85
Epoch 39, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.8
Epoch 40, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 41, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.75
Epoch 42, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.85
Epoch 43, Train acc: 0.73, Validation acc: 0.67, Test acc: 0.85
Epoch 44, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 45, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.8
Epoch 46, Train acc: 0.73, Validation acc: 0.78, Test acc: 0.8
Epoch 47, Train acc: 0.73, Validation acc: 0.78, Test acc: 0.75
Epoch 48, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.85
Epoch 49, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 50, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 51, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.85
Epoch 52, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.85
Epoch 53, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.85
Epoch 54, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 55, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 56, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 57, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 58, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 59, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 60, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 61, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 62, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 63, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 64, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 65, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 66, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 67, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 68, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 69, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 70, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 71, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 72, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.85
Epoch 73, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.85
Epoch 74, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 75, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 76, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 77, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 78, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 79, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 80, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 81, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 82, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 83, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 84, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 85, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 86, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 87, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 88, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 89, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 90, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 91, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 92, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 93, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 94, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 95, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 96, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 97, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 98, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 99, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 100, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 101, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 102, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 103, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 104, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 105, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 106, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 107, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 108, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 109, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 110, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 111, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 112, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 113, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 114, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 115, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 116, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 117, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 118, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 119, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 120, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 121, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 122, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 123, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 124, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 125, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 126, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 127, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 128, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 129, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 130, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 131, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 132, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
Epoch 133, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.85
100 epochs without improvement, stopping training
Best train acc: 0.7333333333333333, Best validation acc: 0.7777777777777778, Best test acc: 0.8
Trial 5/25
GNN(
  (layers): ModuleList(
    (0): GCNConv(7, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=28, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  13297
Epoch 1, Train acc: 0.32, Validation acc: 0.39 (new best validation), Test acc: 0.4
Epoch 2, Train acc: 0.68, Validation acc: 0.61 (new best validation), Test acc: 0.6
Epoch 3, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 4, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 5, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 6, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 7, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 8, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 9, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 10, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 11, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 12, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 13, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 14, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 15, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 16, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 17, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 18, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 19, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 20, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 21, Train acc: 0.68, Validation acc: 0.61, Test acc: 0.6
Epoch 22, Train acc: 0.69, Validation acc: 0.61, Test acc: 0.6
Epoch 23, Train acc: 0.71, Validation acc: 0.78 (new best validation), Test acc: 0.6
Epoch 24, Train acc: 0.7, Validation acc: 0.72, Test acc: 0.6
Epoch 25, Train acc: 0.71, Validation acc: 0.78, Test acc: 0.6
Epoch 26, Train acc: 0.71, Validation acc: 0.83 (new best validation), Test acc: 0.65
Epoch 27, Train acc: 0.71, Validation acc: 0.67, Test acc: 0.55
Epoch 28, Train acc: 0.72, Validation acc: 0.78, Test acc: 0.65
Epoch 29, Train acc: 0.71, Validation acc: 0.78, Test acc: 0.65
Epoch 30, Train acc: 0.71, Validation acc: 0.72, Test acc: 0.6
Epoch 31, Train acc: 0.71, Validation acc: 0.72, Test acc: 0.6
Epoch 32, Train acc: 0.71, Validation acc: 0.72, Test acc: 0.6
Epoch 33, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.6
Epoch 34, Train acc: 0.71, Validation acc: 0.72, Test acc: 0.6
Epoch 35, Train acc: 0.72, Validation acc: 0.72, Test acc: 0.65
Epoch 36, Train acc: 0.73, Validation acc: 0.67, Test acc: 0.6
Epoch 37, Train acc: 0.72, Validation acc: 0.67, Test acc: 0.6
Epoch 38, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.6
Epoch 39, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.65
Epoch 40, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.65
Epoch 41, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.65
Epoch 42, Train acc: 0.76, Validation acc: 0.72, Test acc: 0.65
Epoch 43, Train acc: 0.73, Validation acc: 0.72, Test acc: 0.65
Epoch 44, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.65
Epoch 45, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 46, Train acc: 0.74, Validation acc: 0.72, Test acc: 0.7
Epoch 47, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.75
Epoch 48, Train acc: 0.75, Validation acc: 0.72, Test acc: 0.75
Epoch 49, Train acc: 0.78, Validation acc: 0.72, Test acc: 0.65
Epoch 50, Train acc: 0.78, Validation acc: 0.72, Test acc: 0.65
Epoch 51, Train acc: 0.78, Validation acc: 0.72, Test acc: 0.65
Epoch 52, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 53, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 54, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.7
Epoch 55, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.7
Epoch 56, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.7
Epoch 57, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.7
Epoch 58, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 59, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 60, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 61, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 62, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 63, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 64, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 65, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 66, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 67, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 68, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 69, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 70, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 71, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 72, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 73, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 74, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 75, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 76, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 77, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 78, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 79, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 80, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 81, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 82, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 83, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 84, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 85, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 86, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 87, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 88, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 89, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 90, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 91, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 92, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 93, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 94, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 95, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 96, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 97, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 98, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 99, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 100, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 101, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 102, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 103, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 104, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
Epoch 105, Train acc: 0.77, Validation acc: 0.72, Test acc: 0.65
